71,66.32,68.84,72.19,50.39,24.62,19.18,20.2,18.83,17.6,22.05
72,68.84,72.19,50.39,24.62,19.18,20.2,18.83,17.6,22.05,18.51
73,72.19,50.39,24.62,19.18,20.2,18.83,17.6,22.05,18.51,20.76
74,50.39,24.62,19.18,20.2,18.83,17.6,22.05,18.51,20.76,18.62
75,24.62,19.18,20.2,18.83,17.6,22.05,18.51,20.76,18.62,22.96
76,19.18,20.2,18.83,17.6,22.05,18.51,20.76,18.62,22.96,19.29
77,20.2,18.83,17.6,22.05,18.51,20.76,18.62,22.96,19.29,19.69
78,18.83,17.6,22.05,18.51,20.76,18.62,22.96,19.29,19.69,20.88
79,17.6,22.05,18.51,20.76,18.62,22.96,19.29,19.69,20.88,22.14
80,22.05,18.51,20.76,18.62,22.96,19.29,19.69,20.88,22.14,27.55
81,18.51,20.76,18.62,22.96,19.29,19.69,20.88,22.14,27.55,19.59
82,20.76,18.62,22.96,19.29,19.69,20.88,22.14,27.55,19.59,19.49
83,18.62,22.96,19.29,19.69,20.88,22.14,27.55,19.59,19.49,20.57
84,22.96,19.29,19.69,20.88,22.14,27.55,19.59,19.49,20.57,19.44
85,19.29,19.69,20.88,22.14,27.55,19.59,19.49,20.57,19.44,17.6
86,19.69,20.88,22.14,27.55,19.59,19.49,20.57,19.44,17.6,23.04
87,20.88,22.14,27.55,19.59,19.49,20.57,19.44,17.6,23.04,19.54
88,22.14,27.55,19.59,19.49,20.57,19.44,17.6,23.04,19.54,15.74
89,27.55,19.59,19.49,20.57,19.44,17.6,23.04,19.54,15.74,18.16
90,19.59,19.49,20.57,19.44,17.6,23.04,19.54,15.74,18.16,22.08
91,19.49,20.57,19.44,17.6,23.04,19.54,15.74,18.16,22.08,11.59
92,20.57,19.44,17.6,23.04,19.54,15.74,18.16,22.08,11.59,18.88
93,19.44,17.6,23.04,19.54,15.74,18.16,22.08,11.59,18.88,17.05
94,17.6,23.04,19.54,15.74,18.16,22.08,11.59,18.88,17.05,20.46
95,23.04,19.54,15.74,18.16,22.08,11.59,18.88,17.05,20.46,18.78
96,19.54,15.74,18.16,22.08,11.59,18.88,17.05,20.46,18.78,18.13
97,15.74,18.16,22.08,11.59,18.88,17.05,20.46,18.78,18.13,18.11
98,18.16,22.08,11.59,18.88,17.05,20.46,18.78,18.13,18.11,16.46
99,22.08,11.59,18.88,17.05,20.46,18.78,18.13,18.11,16.46,10.63
100,11.59,18.88,17.05,20.46,18.78,18.13,18.11,16.46,10.63,21.43
101,18.88,17.05,20.46,18.78,18.13,18.11,16.46,10.63,21.43,18.62
102,17.05,20.46,18.78,18.13,18.11,16.46,10.63,21.43,18.62,18.62
103,20.46,18.78,18.13,18.11,16.46,10.63,21.43,18.62,18.62,16.97
104,18.78,18.13,18.11,16.46,10.63,21.43,18.62,18.62,16.97,19.34
105,18.13,18.11,16.46,10.63,21.43,18.62,18.62,16.97,19.34,24.68
106,18.11,16.46,10.63,21.43,18.62,18.62,16.97,19.34,24.68,15.23
107,16.46,10.63,21.43,18.62,18.62,16.97,19.34,24.68,15.23,18.41
108,10.63,21.43,18.62,18.62,16.97,19.34,24.68,15.23,18.41,10.35
109,21.43,18.62,18.62,16.97,19.34,24.68,15.23,18.41,10.35,19.54
110,18.62,18.62,16.97,19.34,24.68,15.23,18.41,10.35,19.54,20.61
111,18.62,16.97,19.34,24.68,15.23,18.41,10.35,19.54,20.61,16.45
112,16.97,19.34,24.68,15.23,18.41,10.35,19.54,20.61,16.45,16.92
113,19.34,24.68,15.23,18.41,10.35,19.54,20.61,16.45,16.92,18.51
114,24.68,15.23,18.41,10.35,19.54,20.61,16.45,16.92,18.51,14.94
115,15.23,18.41,10.35,19.54,20.61,16.45,16.92,18.51,14.94,17.35
116,18.41,10.35,19.54,20.61,16.45,16.92,18.51,14.94,17.35,21.72
117,10.35,19.54,20.61,16.45,16.92,18.51,14.94,17.35,21.72,21.43
118,19.54,20.61,16.45,16.92,18.51,14.94,17.35,21.72,21.43,19.59
119,20.61,16.45,16.92,18.51,14.94,17.35,21.72,21.43,19.59,18.39
120,16.45,16.92,18.51,14.94,17.35,21.72,21.43,19.59,18.39,17.18
121,16.92,18.51,14.94,17.35,21.72,21.43,19.59,18.39,17.18,14.03
122,18.51,14.94,17.35,21.72,21.43,19.59,18.39,17.18,14.03,19.13
123,14.94,17.35,21.72,21.43,19.59,18.39,17.18,14.03,19.13,16.71
124,17.35,21.72,21.43,19.59,18.39,17.18,14.03,19.13,16.71,18.97
125,21.72,21.43,19.59,18.39,17.18,14.03,19.13,16.71,18.97,22.56
126,21.43,19.59,18.39,17.18,14.03,19.13,16.71,18.97,22.56,20.36
