1,13.25
2,4.03
3,8.02
4,7.77
5,9.66
6,12.03
7,12.08
8,31.13
9,10.66
10,12.24
11,12.09
12,16.54
13,19.47
14,21.01
15,23.53
16,21.21
17,12.63
18,16.5
19,21.5
20,22.56
21,23.91
22,25.76
23,26.85
24,23.8
25,25.57
26,23.14
27,22.84
28,25.25
29,26.85
30,24.94
31,27.48
32,25.83
33,23.66
34,26.92
35,29.19
36,28.89
37,33.25
38,31.47
39,34.25
40,33.17
41,31.06
42,38.69
43,29.56
44,36.62
45,34.92
46,32.82
47,28.64
48,29.31
49,28.9
50,28.17
51,27.18
52,31.14
53,28.75
54,26.8
55,29.49
56,28.68
57,32.4
58,30.1
59,34.09
60,33.67
61,31.3
62,31.28
63,30.59
64,34.62
65,28.31
66,28.32
67,28.24
68,27.41
69,28.76
70,29.38
71,30.79
72,31.82
73,28.28
74,28.35
75,30.79
76,28.02
77,28.39
78,31.98
79,29.72
80,29.97
81,28.9
82,30.69
83,26.74
84,33.25
85,33.76
86,32.15
87,28.61
88,27.18
89,29.11
90,33.08
91,28.94
92,28.5
93,29.85
94,26.46
95,29.59
96,30.1
97,30.43
98,29.34
99,30.46
100,27.76
